x_obs,raw_y,corrected_y,truth_y,gene_name
105,74,340.07436522734923,314.59,ENSG00000285444
106,75,339.63524490670494,314.06,ENSG00000285444
107,75,339.1836135400867,314.92,ENSG00000285444
108,75,338.70418245474315,314.82,ENSG00000285444
109,75,338.21171864517214,314.74,ENSG00000285444
110,75,337.7067813081334,315.1,ENSG00000285444
111,75,337.1742224685927,315.59,ENSG00000285444
112,77,336.5989234798438,315.43,ENSG00000285444
113,77,336.011561509706,315.31,ENSG00000285444
114,78,335.41284538252245,315.25,ENSG00000285444
115,78,334.77351668904197,314.53,ENSG00000285444
116,78,334.1086155574169,314.83,ENSG00000285444
117,78,333.417451654796,314.52,ENSG00000285444
118,78,332.7309010608227,314.4,ENSG00000285444
119,78,332.0356418510489,315.05,ENSG00000285444
120,78,331.33268432537636,314.75,ENSG00000285444
121,78,330.607341732486,314.86,ENSG00000285444
122,78,329.85923091858047,315.2,ENSG00000285444
123,79,329.08800817506534,314.72,ENSG00000285444
124,79,328.28060558381907,315.07,ENSG00000285444
125,79,327.4397307577971,314.62,ENSG00000285444
126,79,326.56660115814384,315.08,ENSG00000285444
127,79,325.7082401115204,314.38,ENSG00000285444
128,80,324.8359461653929,314.44,ENSG00000285444
129,80,323.9653529415074,314.36,ENSG00000285444
130,80,323.06786939722946,314.8,ENSG00000285444
131,80,322.16070937242034,314.15,ENSG00000285444
132,80,321.2453603564205,314.85,ENSG00000285444
133,80,320.3075827067769,314.56,ENSG00000285444
134,80,319.34890930346324,314.8,ENSG00000285444
135,80,318.3851438343108,314.52,ENSG00000285444
136,80,317.41635950956055,313.75,ENSG00000285444
137,80,316.39986879177985,314.01,ENSG00000285444
138,81,315.3687511748555,314.02,ENSG00000285444
139,81,314.33882016436723,314.38,ENSG00000285444
140,82,313.2958872032937,313.96,ENSG00000285444
141,82,312.25578953176694,314.44,ENSG00000285444
142,83,311.2186225601405,315.24,ENSG00000285444
143,83,310.1845026899415,314.58,ENSG00000285444
144,83,309.15506526997706,313.96,ENSG00000285444
145,83,308.1176964937386,314.2,ENSG00000285444
146,83,307.10405987023483,314.03,ENSG00000285444
147,83,306.1000631357323,314.38,ENSG00000285444
148,83,305.1058850645912,314.05,ENSG00000285444
149,83,304.13747275508126,314.36,ENSG00000285444
150,83,303.1807729084722,313.7,ENSG00000285444
151,83,302.23599303386413,314.71,ENSG00000285444
152,85,301.28906846435115,313.68,ENSG00000285444
153,85,300.3273940243927,313.68,ENSG00000285444
154,85,299.4141150836406,313.87,ENSG00000285444
155,86,298.52232855573516,314.08,ENSG00000285444
156,86,297.6551392393524,313.53,ENSG00000285444
157,86,296.79986083707126,313.59,ENSG00000285444
158,86,295.9722770386506,314.1,ENSG00000285444
159,86,295.15810854794773,314.23,ENSG00000285444
160,86,294.373039616085,313.69,ENSG00000285444
161,86,293.6026846544142,314.11,ENSG00000285444
162,87,292.8941456088397,314.12,ENSG00000285444
163,87,292.2187129377131,314.26,ENSG00000285444
164,87,291.59192269897574,313.86,ENSG00000285444
165,88,290.9849943764937,313.7,ENSG00000285444
166,88,290.41335774821295,313.76,ENSG00000285444
167,88,289.8623558492864,313.64,ENSG00000285444
168,88,289.3330082010098,313.51,ENSG00000285444
169,88,288.82624368512677,313.18,ENSG00000285444
170,88,288.32863429026713,313.89,ENSG00000285444
171,88,287.8423938487325,313.6,ENSG00000285444
172,88,287.38387646820263,313.45,ENSG00000285444
173,88,286.9550764677645,314.18,ENSG00000285444
174,90,286.5578927299554,314.32,ENSG00000285444
175,91,286.1926280613236,313.5,ENSG00000285444
176,92,285.87375477590786,314.24,ENSG00000285444
177,92,285.58565058275815,314.75,ENSG00000285444
178,92,285.3583948105394,314.97,ENSG00000285444
179,92,285.176239009375,314.23,ENSG00000285444
180,93,285.0091090648508,314.91,ENSG00000285444
181,94,284.88687170695704,314.3,ENSG00000285444
182,94,284.7792765656824,314.86,ENSG00000285444
183,95,284.65895971260255,313.95,ENSG00000285444
184,96,284.5584450458122,314.06,ENSG00000285444
185,96,284.4928811940672,314.29,ENSG00000285444
186,96,284.4615751435635,314.1,ENSG00000285444
187,99,284.47802544581,314.88,ENSG00000285444
188,100,284.54142617094027,315.03,ENSG00000285444
189,100,284.65093509855956,314.47,ENSG00000285444
190,101,284.77714789659063,314.57,ENSG00000285444
191,101,284.9221017906255,315.17,ENSG00000285444
192,101,285.1162780842001,314.86,ENSG00000285444
193,101,285.34434119792445,315.39,ENSG00000285444
194,102,285.6194371288128,315.41,ENSG00000285444
195,103,285.93893245635013,314.84,ENSG00000285444
196,103,286.30018330446205,315.02,ENSG00000285444
197,103,286.67200950475853,314.74,ENSG00000285444
198,103,287.0689627728302,314.7,ENSG00000285444
199,103,287.5040641454981,314.18,ENSG00000285444
200,103,287.94604307149035,314.43,ENSG00000285444
201,103,288.4236351597797,313.8,ENSG00000285444
202,104,288.9513203217787,313.8,ENSG00000285444
203,106,289.49932542275366,314.14,ENSG00000285444
204,106,290.08065553612107,314.27,ENSG00000285444
205,107,290.6940673564644,314.14,ENSG00000285444
206,108,291.3383359045598,314.14,ENSG00000285444
207,109,291.98222628438623,313.82,ENSG00000285444
208,109,292.6545252316857,314.46,ENSG00000285444
209,110,293.352511805835,315.05,ENSG00000285444
210,110,294.0306949583981,314.44,ENSG00000285444
211,111,294.70507908721925,314.56,ENSG00000285444
212,111,295.40589875894966,314.21,ENSG00000285444
213,111,296.1318838327532,314.2,ENSG00000285444
214,111,296.86602498309844,314.03,ENSG00000285444
215,112,297.6228396330022,313.96,ENSG00000285444
216,112,298.37257648560296,314.07,ENSG00000285444
217,113,299.1440093279647,314.23,ENSG00000285444
218,114,299.9344065561196,314.25,ENSG00000285444
219,115,300.7410611902668,313.78,ENSG00000285444
220,117,301.561290159006,313.77,ENSG00000285444
221,119,302.3924334803695,313.2,ENSG00000285444
222,120,303.20332394334923,313.73,ENSG00000285444
223,122,303.9942861286616,313.55,ENSG00000285444
224,123,304.82566478354045,313.9,ENSG00000285444
225,124,305.66779372923475,313.25,ENSG00000285444
226,124,306.53531948037255,313.76,ENSG00000285444
227,125,307.4114047989322,313.52,ENSG00000285444
228,125,308.29349286681827,313.62,ENSG00000285444
229,125,309.1505120397426,314.0,ENSG00000285444
230,127,309.98437533373226,312.89,ENSG00000285444
231,127,310.8269781342186,312.13,ENSG00000285444
232,129,311.6771959358956,312.5,ENSG00000285444
233,133,312.53391453266636,312.81,ENSG00000285444
234,135,313.3975296377504,313.12,ENSG00000285444
235,136,314.2098859261806,312.64,ENSG00000285444
236,137,315.0170702688363,312.54,ENSG00000285444
237,137,315.86514619513616,312.18,ENSG00000285444
238,138,316.74018312724934,312.19,ENSG00000285444
239,138,317.61101976223074,312.69,ENSG00000285444
240,141,318.47799989734824,312.41,ENSG00000285444
241,143,319.3271764962444,313.4,ENSG00000285444
242,144,320.17307523121536,313.23,ENSG00000285444
243,145,321.01442926464006,313.79,ENSG00000285444
244,145,321.8799741030524,313.27,ENSG00000285444
245,145,322.7541824734931,313.48,ENSG00000285444
246,145,323.60726394947164,313.67,ENSG00000285444
247,147,324.4679287235728,313.34,ENSG00000285444
248,148,325.2905631829572,313.85,ENSG00000285444
249,148,326.09102496797016,313.31,ENSG00000285444
250,150,326.897876238501,313.43,ENSG00000285444
251,150,327.70814878274706,312.92,ENSG00000285444
252,151,328.5203750592989,313.42,ENSG00000285444
253,152,329.3503533572167,313.96,ENSG00000285444
254,152,330.1538517534958,314.23,ENSG00000285444
255,153,330.9751674322197,314.23,ENSG00000285444
256,153,331.75577305591526,313.85,ENSG00000285444
257,155,332.51437671771896,314.14,ENSG00000285444
258,155,333.2523600583615,314.6,ENSG00000285444
259,155,333.99957353790074,313.74,ENSG00000285444
260,158,334.7400716938397,313.84,ENSG00000285444
261,160,335.50217313818825,313.09,ENSG00000285444
262,161,336.22563640872306,313.54,ENSG00000285444
263,161,336.9544840863633,313.21,ENSG00000285444
264,162,337.6426480468844,312.87,ENSG00000285444
265,163,338.3212953899906,314.02,ENSG00000285444
266,165,338.9757672179218,313.74,ENSG00000285444
267,165,339.6356386663641,314.03,ENSG00000285444
268,165,340.2719247970017,313.93,ENSG00000285444
269,165,340.90137532847194,314.12,ENSG00000285444
270,165,341.5264446399414,313.7,ENSG00000285444
271,165,342.1795865067829,314.61,ENSG00000285444
272,167,342.83172350808434,314.19,ENSG00000285444
273,169,343.48527826064424,314.27,ENSG00000285444
274,169,344.1426428298296,314.24,ENSG00000285444
275,170,344.804678153896,314.42,ENSG00000285444
276,170,345.44218465813077,315.3,ENSG00000285444
277,170,346.10019699990954,314.41,ENSG00000285444
278,170,346.7621887789351,315.36,ENSG00000285444
279,172,347.44013259075393,315.39,ENSG00000285444
280,175,348.19029537549204,315.33,ENSG00000285444
281,176,348.94894373164624,315.38,ENSG00000285444
282,176,349.71540517330095,315.14,ENSG00000285444
283,177,350.5235387521203,315.31,ENSG00000285444
284,178,351.37573269116245,315.99,ENSG00000285444
285,182,352.2414038204249,315.14,ENSG00000285444
286,183,353.14852822587693,314.64,ENSG00000285444
287,184,354.0350518514736,314.98,ENSG00000285444
288,184,354.93045116219093,314.12,ENSG00000285444
289,185,355.8184072534333,314.59,ENSG00000285444
290,187,356.7726612339445,313.81,ENSG00000285444
291,189,357.7341901379232,314.12,ENSG00000285444
292,190,358.6897663915506,314.2,ENSG00000285444
293,191,359.6403972324895,314.37,ENSG00000285444
294,191,360.5855594484994,314.27,ENSG00000285444
295,192,361.53746412904127,314.06,ENSG00000285444
296,194,362.4925573122239,313.83,ENSG00000285444
297,194,363.4930806567381,313.53,ENSG00000285444
298,197,364.50704147851224,313.33,ENSG00000285444
299,199,365.4168892709293,314.22,ENSG00000285444
300,199,366.36086929683495,314.62,ENSG00000285444
301,199,367.2926054732198,313.1,ENSG00000285444
302,200,368.1972228728714,313.62,ENSG00000285444
303,201,369.06278835938383,313.5,ENSG00000285444
304,203,369.93433823562884,313.95,ENSG00000285444
305,203,370.79534890439083,313.83,ENSG00000285444
306,207,371.6450331696641,313.4,ENSG00000285444
307,210,372.4983394729868,313.46,ENSG00000285444
308,212,373.35445183302784,313.67,ENSG00000285444
309,213,374.18102476701335,312.94,ENSG00000285444
310,214,375.038745012773,313.0,ENSG00000285444
311,214,375.9140406860923,312.44,ENSG00000285444
312,217,376.7775961228061,313.28,ENSG00000285444
313,217,377.64286726694013,313.99,ENSG00000285444
314,220,378.5218114544639,313.94,ENSG00000285444
315,222,379.4264151798494,314.34,ENSG00000285444
316,224,380.3401990587168,314.06,ENSG00000285444
317,225,381.26097795568717,313.89,ENSG00000285444
318,228,382.1408064244816,313.92,ENSG00000285444
319,230,382.9932391935112,313.78,ENSG00000285444
320,233,383.81603832764006,313.83,ENSG00000285444
321,234,384.62120413702894,313.52,ENSG00000285444
322,236,385.4079730343209,313.7,ENSG00000285444
323,239,386.1928508659322,314.49,ENSG00000285444
324,241,386.9450811350541,314.06,ENSG00000285444
325,243,387.70670288579436,314.25,ENSG00000285444
326,246,388.4297283810892,313.87,ENSG00000285444
327,247,389.1119383871135,314.37,ENSG00000285444
328,248,389.80814534802244,313.54,ENSG00000285444
329,248,390.4846656137803,313.72,ENSG00000285444
330,246,391.158146993768,314.3,ENSG00000285444
331,246,391.81376863140554,313.31,ENSG00000285444
332,248,392.4337433995294,313.13,ENSG00000285444
333,250,393.0160531084289,313.39,ENSG00000285444
334,250,393.5173894342393,313.17,ENSG00000285444
335,251,394.03174545050535,314.04,ENSG00000285444
336,250,394.50155618016515,313.51,ENSG00000285444
337,252,394.9705862728413,313.7,ENSG00000285444
338,253,395.37680879336415,313.41,ENSG00000285444
339,254,395.7354676163306,313.63,ENSG00000285444
340,253,396.1346056217904,313.87,ENSG00000285444
341,255,396.5122709632269,313.67,ENSG00000285444
342,257,396.79678402869763,314.6,ENSG00000285444
343,259,397.05073542754747,314.01,ENSG00000285444
344,260,397.25789621989003,314.08,ENSG00000285444
345,260,397.44630117639383,314.3,ENSG00000285444
346,260,397.6297669511482,313.78,ENSG00000285444
347,259,397.7763737007848,314.07,ENSG00000285444
348,259,397.9015049846751,313.83,ENSG00000285444
349,266,398.0078176548924,314.4,ENSG00000285444
350,266,398.03644375993383,313.89,ENSG00000285444
351,267,398.0170215934771,313.88,ENSG00000285444
352,270,397.99193040824014,314.71,ENSG00000285444
353,274,397.97208589413003,313.77,ENSG00000285444
354,274,397.9257065873978,313.3,ENSG00000285444
355,276,397.8225390972006,314.42,ENSG00000285444
356,277,397.752468201453,313.97,ENSG00000285444
357,279,397.7011198974961,313.79,ENSG00000285444
358,279,397.638524295305,313.68,ENSG00000285444
359,281,397.5347686858538,313.61,ENSG00000285444
360,282,397.38997853396387,312.95,ENSG00000285444
361,283,397.14572799616275,313.56,ENSG00000285444
362,285,396.90939480765996,313.57,ENSG00000285444
363,285,396.64956889184754,313.42,ENSG00000285444
364,285,396.3949383020614,313.34,ENSG00000285444
365,284,396.13149587732426,313.3,ENSG00000285444
366,285,395.9023622517951,313.44,ENSG00000285444
367,284,395.6306970830855,312.92,ENSG00000285444
368,286,395.3627886571894,313.85,ENSG00000285444
369,287,395.08496699295415,313.26,ENSG00000285444
370,288,394.7708654034104,313.65,ENSG00000285444
371,288,394.4669509421932,312.32,ENSG00000285444
372,290,394.14246421157327,313.16,ENSG00000285444
373,291,393.8297462856732,312.49,ENSG00000285444
374,292,393.4869131551212,312.2,ENSG00000285444
375,291,393.1606793203508,311.86,ENSG00000285444
376,292,392.86632878511693,311.73,ENSG00000285444
377,293,392.5734793742378,312.38,ENSG00000285444
378,290,392.2660834068985,312.39,ENSG00000285444
379,291,391.9281326187802,312.36,ENSG00000285444
380,292,391.5263620456624,311.95,ENSG00000285444
381,292,391.08751793638146,312.51,ENSG00000285444
382,292,390.612825282176,311.5,ENSG00000285444
383,293,390.13505042533615,311.3,ENSG00000285444
384,297,389.6097034518717,311.95,ENSG00000285444
385,298,389.06659791545127,311.89,ENSG00000285444
386,300,388.47402610538063,311.64,ENSG00000285444
387,299,387.8903992367037,311.51,ENSG00000285444
388,301,387.2711742478109,311.56,ENSG00000285444
389,303,386.6464398589852,311.31,ENSG00000285444
390,300,385.9545645672059,311.07,ENSG00000285444
391,301,385.2555349440531,311.34,ENSG00000285444
392,306,384.53658211840525,312.14,ENSG00000285444
393,307,383.8007406314813,312.1,ENSG00000285444
394,308,383.04958195526285,311.81,ENSG00000285444
395,308,382.2674491962728,311.42,ENSG00000285444
396,308,381.438693285766,311.43,ENSG00000285444
397,308,380.561905761627,312.19,ENSG00000285444
398,310,379.6641853103072,311.05,ENSG00000285444
399,311,378.8244640854771,311.22,ENSG00000285444
400,314,377.9717102056579,311.38,ENSG00000285444
401,315,377.1047504017364,311.14,ENSG00000285444
402,314,376.26974197688423,311.11,ENSG00000285444
403,312,375.4416443091735,310.81,ENSG00000285444
404,313,374.59397916543134,310.7,ENSG00000285444
405,314,373.77159780014307,310.96,ENSG00000285444
406,313,372.94511716398705,310.96,ENSG00000285444
407,312,372.1452487617281,311.17,ENSG00000285444
408,312,371.31270569198944,310.89,ENSG00000285444
409,313,370.47976353352135,310.96,ENSG00000285444
410,314,369.6344340999864,311.25,ENSG00000285444
411,318,368.77899374878876,311.36,ENSG00000285444
412,318,367.93148380091293,311.03,ENSG00000285444
413,317,367.0784452925651,310.45,ENSG00000285444
414,317,366.2191805224477,310.58,ENSG00000285444
415,317,365.33722436905794,310.6,ENSG00000285444
416,314,364.4761393797712,310.24,ENSG00000285444
417,315,363.5894518277255,310.37,ENSG00000285444
418,315,362.7079830723882,310.42,ENSG00000285444
419,315,361.8340471962417,309.62,ENSG00000285444
420,318,360.9684822890613,309.74,ENSG00000285444
421,316,360.0963840940664,309.55,ENSG00000285444
422,317,359.23437162171433,310.28,ENSG00000285444
423,317,358.38481990725046,310.01,ENSG00000285444
424,319,357.54862497509873,310.49,ENSG00000285444
425,318,356.6809073281752,309.86,ENSG00000285444
426,317,355.82680572431684,310.34,ENSG00000285444
427,316,354.98718324434856,309.88,ENSG00000285444
428,316,354.07132896140195,309.89,ENSG00000285444
429,316,353.1685497483861,309.92,ENSG00000285444
430,316,352.2653132642216,310.17,ENSG00000285444
431,316,351.3623369815535,310.08,ENSG00000285444
432,318,350.45882183968524,309.98,ENSG00000285444
433,318,349.5697180109247,309.93,ENSG00000285444
434,319,348.74301922806376,309.91,ENSG00000285444
435,319,347.9224674544164,309.59,ENSG00000285444
436,319,347.15463836130476,309.47,ENSG00000285444
437,318,346.3645601935213,309.43,ENSG00000285444
438,319,345.61306423379,309.45,ENSG00000285444
439,318,344.88819781292415,309.35,ENSG00000285444
440,319,344.14348631033357,309.12,ENSG00000285444
441,319,343.4066973920708,309.1,ENSG00000285444
442,320,342.72884508450323,309.69,ENSG00000285444
443,321,342.0994505152384,309.23,ENSG00000285444
444,321,341.5035697674746,309.64,ENSG00000285444
445,321,340.9120025992536,309.58,ENSG00000285444
446,322,340.3397878838102,309.46,ENSG00000285444
447,322,339.7719130158355,310.0,ENSG00000285444
448,321,339.2406045518864,309.55,ENSG00000285444
449,322,338.73380461998556,309.71,ENSG00000285444
450,321,338.29948871781505,309.23,ENSG00000285444
451,321,337.8956095662227,309.4,ENSG00000285444
452,320,337.50712434881325,309.49,ENSG00000285444
453,322,337.1159375008181,309.56,ENSG00000285444
454,322,336.75116366664963,309.44,ENSG00000285444
455,321,336.429128928642,309.7,ENSG00000285444
456,321,336.1046194939195,309.43,ENSG00000285444
457,320,335.80514250675134,309.01,ENSG00000285444
458,321,335.5281668769553,309.33,ENSG00000285444
459,322,335.3026712785053,309.75,ENSG00000285444
460,323,335.08484662333683,309.15,ENSG00000285444
461,324,334.93969217527706,309.36,ENSG00000285444
462,325,334.8249224496023,309.22,ENSG00000285444
463,325,334.72376206003827,309.01,ENSG00000285444
464,325,334.6636841059724,309.48,ENSG00000285444
465,325,334.6278802549623,309.31,ENSG00000285444
466,324,334.5679972430112,309.48,ENSG00000285444
467,324,334.56996211906767,309.41,ENSG00000285444
468,325,334.5868951425485,309.66,ENSG00000285444
469,325,334.6319649653245,309.65,ENSG00000285444
470,325,334.7356252867577,309.25,ENSG00000285444
471,325,334.83681999481576,309.58,ENSG00000285444
472,326,334.934514788554,309.21,ENSG00000285444
473,326,335.0591686374989,309.19,ENSG00000285444
474,326,335.19697033073265,309.45,ENSG00000285444
475,327,335.31983918185307,309.21,ENSG00000285444
476,327,335.440924800755,309.15,ENSG00000285444
477,327,335.5575784058671,309.09,ENSG00000285444
478,329,335.654357229001,309.06,ENSG00000285444
479,329,335.7900833761412,308.72,ENSG00000285444
480,330,335.93204827231904,309.54,ENSG00000285444
481,330,336.05054751639295,309.05,ENSG00000285444
482,330,336.2074133520355,309.29,ENSG00000285444
483,330,336.38721209377366,309.41,ENSG00000285444
484,330,336.588813103201,309.31,ENSG00000285444
485,331,336.768327799885,309.11,ENSG00000285444
486,330,336.95613935889725,308.56,ENSG00000285444
487,331,337.1210783803759,309.21,ENSG00000285444
488,331,337.29348521762455,308.81,ENSG00000285444
489,332,337.4721790428527,309.17,ENSG00000285444
490,331,337.67025444491907,308.87,ENSG00000285444
491,332,337.85805234320225,309.32,ENSG00000285444
492,334,338.09448403732137,309.36,ENSG00000285444
493,333,338.34847472399116,308.98,ENSG00000285444
494,333,338.5904895722611,308.76,ENSG00000285444
495,334,338.82100778097896,308.93,ENSG00000285444
496,334,339.05625788592425,309.16,ENSG00000285444
497,335,339.28244854145436,308.95,ENSG00000285444
498,336,339.49853824935155,309.06,ENSG00000285444
499,337,339.7477631838749,309.05,ENSG00000285444
500,337,339.9833369677975,309.11,ENSG00000285444
501,338,340.2185264044076,309.08,ENSG00000285444
502,338,340.4223096804845,309.24,ENSG00000285444
503,338,340.6552117937273,309.18,ENSG00000285444
504,339,340.8592046046902,309.2,ENSG00000285444
505,339,341.0775757788658,308.55,ENSG00000285444
506,340,341.2635583401913,309.16,ENSG00000285444
507,339,341.4318999023303,309.1,ENSG00000285444
508,339,341.59732916105435,308.99,ENSG00000285444
509,338,341.7618223589101,309.22,ENSG00000285444
510,340,341.92736622346837,308.95,ENSG00000285444
511,341,342.0816934186984,309.2,ENSG00000285444
512,341,342.2853815665374,308.92,ENSG00000285444
513,341,342.47732393554475,308.89,ENSG00000285444
514,340,342.67246327908566,308.71,ENSG00000285444
515,340,342.8840872376615,308.84,ENSG00000285444
516,340,343.06550271601776,308.86,ENSG00000285444
517,338,343.2600542027599,308.86,ENSG00000285444
518,338,343.48109466381425,308.22,ENSG00000285444
519,337,343.68348359260455,308.18,ENSG00000285444
520,337,343.86785311891475,308.36,ENSG00000285444
521,336,344.03481183904097,308.39,ENSG00000285444
522,338,344.229238852627,308.14,ENSG00000285444
523,337,344.39172419463057,307.99,ENSG00000285444
524,339,344.5528933345587,308.49,ENSG00000285444
525,340,344.7276112142091,308.29,ENSG00000285444
526,340,344.8722184793738,307.98,ENSG00000285444
527,340,345.01732440463616,308.45,ENSG00000285444
528,342,345.1935427081551,309.14,ENSG00000285444
529,340,345.38575592709435,309.0,ENSG00000285444
530,340,345.59314453258406,308.4,ENSG00000285444
531,342,345.857716869372,308.69,ENSG00000285444
532,342,346.1157499583486,308.91,ENSG00000285444
533,341,346.38093369019856,308.88,ENSG00000285444
534,341,346.6508835519169,308.97,ENSG00000285444
535,343,346.9109986877806,309.19,ENSG00000285444
536,343,347.1320770916372,309.02,ENSG00000285444
537,344,347.3592588435842,309.06,ENSG00000285444
538,345,347.59193206172347,309.28,ENSG00000285444
539,344,347.82951178815557,309.68,ENSG00000285444
540,344,348.0271522704591,309.26,ENSG00000285444
541,345,348.23003877272765,309.51,ENSG00000285444
542,343,348.4405950988567,309.6,ENSG00000285444
543,343,348.60121730193106,309.17,ENSG00000285444
544,344,348.78559481703843,309.13,ENSG00000285444
545,345,348.97739281722846,309.3,ENSG00000285444
546,346,349.1903316002556,309.15,ENSG00000285444
547,347,349.4081704947855,309.45,ENSG00000285444
548,347,349.63196158833813,309.41,ENSG00000285444
549,346,349.87705461040025,309.22,ENSG00000285444
550,346,350.1130637173785,309.86,ENSG00000285444
551,346,350.23292367571776,309.16,ENSG00000285444
552,347,350.52187102814776,309.51,ENSG00000285444
553,347,350.8073424734194,309.08,ENSG00000285444
554,349,351.0887688977831,309.42,ENSG00000285444
555,347,351.3655809273035,308.88,ENSG00000285444
556,349,351.6372111255016,309.2,ENSG00000285444
557,349,351.9030914409055,308.82,ENSG00000285444
558,350,352.1626571724812,309.19,ENSG00000285444
559,351,352.4153396545644,309.21,ENSG00000285444
